"alleleFreq_SV","htsp_trunc","htsp_point","Assigned"
0.0424,0,1,"MT-L"
0.0297,0,1,"MT-H"
0.226,0,0,"MT-L"
0.3571,0,1,"MT-H"
NA,0,0,"MT-L"
0.1297,0,1,"MT-H"
0.1337,1,0,"MT-H"
NA,0,0,"MT-L"
0.1289,1,0,"MT-L"
0.1402,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.4616,1,0,"MT-H"
0.6272,0,0,"MT-L"
0.1993,1,0,"MT-L"
0.0585,0,0,"MT-L"
0.3548,1,0,"MT-L"
0.0336,1,0,"MT-L"
0.0376,1,0,"MT-L htmb"
0.0299,0,0,"MT-L htmb"
0.0338,0,1,"MT-L htmb"
0.4357,1,0,"MT-L htmb"
NA,0,0,"MT-L"
0.1492,1,0,"MT-H"
0.1997,1,0,"MT-H"
0.093,1,0,"MT-H"
0.1175,1,0,"MT-H"
0.4794,0,0,"MT-L"
NA,0,0,"MT-L"
0.3569,0,0,"MT-L"
NA,0,0,"MT-L"
0.581,0,0,"MT-L"
0.0604,0,1,"MT-L"
NA,0,0,"MT-L"
0.1547,1,0,"MT-L"
NA,0,0,"MT-L"
0.4045,0,0,"MT-L"
NA,0,0,"MT-L"
0.2616,0,0,"MT-L"
0.0756,0,1,"MT-L"
NA,0,0,"MT-L"
0.2492,0,0,"MT-L"
0.1757,0,0,"MT-L"
0.4818,1,0,"MT-L"
0.2136,1,0,"MT-L"
0.29,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.0567,0,0,"MT-L"
0.1706,0,0,"MT-H"
0.17,1,0,"MT-H"
0.337,0,0,"MT-L"
0.1874,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1049,0,1,"MT-L"
0.2003,1,0,"MT-L"
0.2144,0,1,"MT-L"
NA,0,0,"MT-L"
0.0102,0,1,"MT-L"
0.0152,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2298,1,0,"MT-H"
0.1904,1,0,"MT-H"
0.2614,0,0,"MT-L"
0.1851,1,0,"MT-L"
0.2515,1,0,"MT-L"
NA,0,0,"MT-L"
0.0242,0,0,"MT-L"
0.2227,1,0,"MT-H"
0.2582,0,0,"MT-H"
NA,0,0,"MT-L"
0.1929,0,0,"MT-L"
0.3185,1,0,"MT-L"
0.1965,1,0,"MT-H"
NA,0,0,"MT-L"
0.1462,1,0,"MT-H"
0.2022,1,0,"MT-H"
0.3439,0,0,"MT-L"
0.1168,0,1,"MT-L"
0.0472,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.3044,0,1,"MT-L"
NA,0,0,"MT-L"
0.1594,0,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.318,0,1,"MT-L"
0.3785,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.443,1,0,"MT-L"
NA,0,0,"MT-L"
0.4706,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.279,0,1,"MT-L"
0.2529,1,0,"MT-L"
NA,0,0,"MT-L"
0.4562,0,0,"MT-L"
NA,0,0,"MT-L"
0.3975,0,0,"MT-L"
NA,0,0,"MT-L"
0.3485,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.4224,1,0,"MT-L"
0.1799,1,0,"MT-H"
0.217,1,0,"MT-L"
0.1253,0,1,"MT-L htmb"
0.175,1,0,"MT-L"
0.2819,0,0,"MT-L"
0.3593,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.3965,0,0,"MT-L"
NA,0,0,"MT-L"
0.0792,0,0,"MT-L htmb"
0.2329,0,0,"MT-L htmb"
0.0203,0,0,"MT-H"
0.2693,1,0,"MT-H"
0.2313,0,0,"MT-H"
0.2731,0,0,"MT-H"
0.1803,0,1,"MT-L"
0.4306,1,0,"MT-L"
0.2961,0,1,"MT-L htmb"
0.2678,0,0,"MT-L htmb"
NA,0,0,"MT-L"
0.5318,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.1153,0,1,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.6808,0,0,"MT-L"
0.0254,0,1,"MT-L"
0.4611,1,0,"MT-L"
0.2295,0,1,"MT-L htmb"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2507,0,0,"MT-L"
0.1322,1,0,"MT-L"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.5739,0,0,"MT-L"
0.2923,1,0,"MT-L"
NA,0,0,"MT-L"
0.1058,0,0,"MT-L"
0.4614,1,0,"MT-L"
NA,0,0,"MT-L"
0.3143,1,0,"MT-L"
0.2258,0,0,"MT-L"
0.3964,0,1,"MT-L"
NA,0,0,"MT-L"
0.1376,0,1,"MT-L"
0.181,0,0,"MT-L htmb"
0.1797,1,0,"MT-L htmb"
0.1887,0,1,"MT-L htmb"
NA,0,0,"MT-L"
0.1282,1,0,"MT-H"
0.1341,1,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.2361,0,1,"MT-L"
0.3246,1,0,"MT-H"
0.3448,1,0,"MT-H"
NA,0,0,"MT-L"
NA,0,0,"MT-L"
0.4605,0,0,"MT-L"
0.0298,0,1,"MT-L"
0.0347,0,1,"MT-L"
NA,0,0,"MT-L"
